ArtNo;BrandNo;Extension;Name;Height;Width;Path;Url;Description;Langue;CountryCode;Exclude;DocType;SortNo;
307024600;232;BMP;307024600;NULL;NULL;0232/0307024600.BMP;NULL;NULL;Universel;NULL;0;1;1;
307027600;232;BMP;307027600;NULL;NULL;0232/0307027600.BMP;NULL;NULL;Universel;NULL;0;1;1;
307031000;232;BMP;307031000;NULL;NULL;0232/0307031000.BMP;NULL;NULL;Universel;NULL;0;1;1;
307039600;232;BMP;307039600;NULL;NULL;0232/0307039600.BMP;NULL;NULL;Universel;NULL;0;1;1;
0308031013C;232;BMP;0308031013C;NULL;NULL;0232/0308031013C.BMP;NULL;NULL;Universel;NULL;0;1;1;
0308039612C;232;BMP;0308039612C;NULL;NULL;0232/0308039612C.BMP;NULL;NULL;Universel;NULL;0;1;1;
31000109;232;JPG;31000109;NULL;NULL;0232/031000109.JPG;NULL;NULL;Universel;NULL;0;3;1;
31000209;232;JPG;31000209;NULL;NULL;0232/031000209.JPG;NULL;NULL;Universel;NULL;0;3;1;
31000909;232;BMP;31000909;NULL;NULL;0232/031000909.BMP;NULL;NULL;Universel;NULL;0;1;1;
31001309;232;BMP;31001309;NULL;NULL;0232/031001309.BMP;NULL;NULL;Universel;NULL;0;1;1;
31005509;232;BMP;31005509;NULL;NULL;0232/031005509.BMP;NULL;NULL;Universel;NULL;0;1;1;
31005609;232;BMP;31005609;NULL;NULL;0232/031005609.BMP;NULL;NULL;Universel;NULL;0;1;1;
32001309;232;BMP;32001309;NULL;NULL;0232/032001309.BMP;NULL;NULL;Universel;NULL;0;1;1;
32001509;232;BMP;32001509;NULL;NULL;0232/032001509.BMP;NULL;NULL;Universel;NULL;0;1;1;
32001809;232;BMP;32001809;NULL;NULL;0232/032001809.BMP;NULL;NULL;Universel;NULL;0;1;1;
32001909;232;BMP;32001909;NULL;NULL;0232/032001909.BMP;NULL;NULL;Universel;NULL;0;1;1;
32002009;232;BMP;32002009;NULL;NULL;0232/032002009.BMP;NULL;NULL;Universel;NULL;0;1;1;
32002109;232;JPG;32002109;NULL;NULL;0232/032002109.JPG;NULL;NULL;Universel;NULL;0;3;1;
32002309;232;BMP;32002309;NULL;NULL;0232/032002309.BMP;NULL;NULL;Universel;NULL;0;1;1;
32002409;232;BMP;32002409;NULL;NULL;0232/032002409.BMP;NULL;NULL;Universel;NULL;0;1;1;
32002509;232;BMP;32002509;NULL;NULL;0232/032002509.BMP;NULL;NULL;Universel;NULL;0;1;1;
32003409;232;BMP;32003409;NULL;NULL;0232/032003409.BMP;NULL;NULL;Universel;NULL;0;1;1;
